% LegID, total_time, time, PosX, PosY, PosZ, VelX, VelY, VelZ, Q1, Q2, Q3, Delta_Q1, Delta_Q2, Delta_Q3
% Robot velocity: 20.000, Arc radius: -100, Leg fase: 1
3,0.000,0.000, 220.441, 229.746, -57.649, 46.000, -24.000, 235.619, 35.151, 32.810, -93.605, -0.131, 1.328, -0.635;
3,0.010,0.010, 220.881, 229.491, -55.305, 45.949, -24.088, 235.297, 35.021, 34.124, -94.206, -0.131, 1.314, -0.601;
3,0.020,0.020, 221.321, 229.235, -52.973, 45.898, -24.176, 234.329, 34.890, 35.420, -94.771, -0.131, 1.296, -0.566;
3,0.030,0.030, 221.762, 228.979, -50.660, 45.847, -24.264, 232.719, 34.760, 36.694, -95.300, -0.130, 1.274, -0.528;
3,0.040,0.040, 222.202, 228.723, -48.373, 45.796, -24.352, 230.471, 34.630, 37.941, -95.790, -0.130, 1.247, -0.490;
3,0.050,0.050, 222.642, 228.466, -46.117, 45.745, -24.440, 227.591, 34.500, 39.159, -96.241, -0.130, 1.217, -0.451;
3,0.060,0.060, 223.083, 228.209, -43.898, 45.693, -24.528, 224.087, 34.370, 40.342, -96.653, -0.130, 1.184, -0.412;
3,0.070,0.070, 223.523, 227.951, -41.724, 45.642, -24.617, 219.970, 34.240, 41.488, -97.025, -0.130, 1.146, -0.372;
3,0.080,0.080, 223.964, 227.694, -39.599, 45.590, -24.705, 215.249, 34.111, 42.594, -97.358, -0.129, 1.106, -0.333;
3,0.090,0.090, 224.406, 227.436, -37.530, 45.539, -24.793, 209.938, 33.981, 43.656, -97.652, -0.129, 1.062, -0.294;
3,0.100,0.100, 224.847, 227.177, -35.522, 45.487, -24.881, 204.052, 33.852, 44.672, -97.907, -0.129, 1.016, -0.255;
3,0.110,0.110, 225.289, 226.919, -33.581, 45.435, -24.969, 197.607, 33.723, 45.640, -98.125, -0.129, 0.967, -0.218;
3,0.120,0.120, 225.732, 226.660, -31.712, 45.384, -25.058, 190.620, 33.594, 46.556, -98.307, -0.129, 0.916, -0.182;
3,0.130,0.130, 226.175, 226.401, -29.920, 45.332, -25.146, 183.111, 33.466, 47.419, -98.454, -0.129, 0.863, -0.147;
3,0.140,0.140, 226.618, 226.142, -28.210, 45.280, -25.235, 175.099, 33.337, 48.227, -98.569, -0.129, 0.808, -0.114;
3,0.150,0.150, 227.062, 225.882, -26.588, 45.228, -25.324, 166.608, 33.209, 48.978, -98.651, -0.128, 0.752, -0.083;
3,0.160,0.160, 227.506, 225.623, -25.057, 45.176, -25.412, 157.660, 33.081, 49.672, -98.704, -0.128, 0.694, -0.053;
3,0.170,0.170, 227.951, 225.363, -23.622, 45.125, -25.501, 148.280, 32.953, 50.308, -98.729, -0.128, 0.635, -0.025;
3,0.180,0.180, 228.396, 225.102, -22.286, 45.073, -25.590, 138.494, 32.825, 50.884, -98.728, -0.128, 0.576, 0.001;
3,0.190,0.190, 228.841, 224.842, -21.054, 45.020, -25.679, 128.328, 32.697, 51.399, -98.703, -0.128, 0.516, 0.025;
3,0.200,0.200, 229.286, 224.581, -19.928, 44.968, -25.768, 117.810, 32.570, 51.855, -98.655, -0.128, 0.455, 0.047;
3,0.210,0.210, 229.732, 224.319, -18.913, 44.916, -25.857, 106.969, 32.442, 52.250, -98.588, -0.127, 0.395, 0.068;
3,0.220,0.220, 230.178, 224.058, -18.010, 44.864, -25.946, 95.835, 32.315, 52.584, -98.501, -0.127, 0.334, 0.086;
3,0.230,0.230, 230.624, 223.795, -17.223, 44.812, -26.036, 84.438, 32.188, 52.857, -98.398, -0.127, 0.273, 0.103;
3,0.240,0.240, 231.070, 223.532, -16.553, 44.759, -26.125, 72.810, 32.061, 53.069, -98.279, -0.127, 0.212, 0.119;
3,0.250,0.250, 231.516, 223.269, -16.002, 44.706, -26.214, 60.983, 31.934, 53.221, -98.145, -0.127, 0.152, 0.133;
3,0.260,0.260, 231.962, 223.005, -15.572, 44.654, -26.303, 48.988, 31.808, 53.312, -97.999, -0.127, 0.091, 0.147;
3,0.270,0.270, 232.407, 222.740, -15.264, 44.601, -26.392, 36.859, 31.682, 53.343, -97.840, -0.126, 0.031, 0.159;
3,0.280,0.280, 232.852, 222.474, -15.079, 44.548, -26.481, 24.629, 31.555, 53.315, -97.669, -0.126, -0.029, 0.171;
3,0.290,0.290, 233.297, 222.208, -15.017, 44.495, -26.570, 12.331, 31.429, 53.227, -97.487, -0.126, -0.088, 0.182;
3,0.300,0.300, 233.741, 221.940, -15.079, 44.442, -26.659, -0.000, 31.303, 53.080, -97.294, -0.126, -0.147, 0.193;
3,0.310,0.310, 234.184, 221.672, -15.264, 44.388, -26.748, -12.331, 31.178, 52.874, -97.089, -0.126, -0.206, 0.204;
