% LegID, total_time, time, PosX, PosY, PosZ, VelX, VelY, VelZ, Q1, Q2, Q3, Delta_Q1, Delta_Q2, Delta_Q3
% Robot velocity: 20.000, Arc radius: 100, Leg fase: 1
3,0.000,0.000, 219.519, 230.625, -57.653, -46.000, 64.000, 235.619, 35.506, 32.889, -93.783, 0.223, 1.407, -0.814;
3,0.010,0.010, 219.036, 231.249, -55.312, -46.125, 63.904, 235.297, 35.729, 34.284, -94.563, 0.223, 1.396, -0.780;
3,0.020,0.020, 218.553, 231.872, -52.984, -46.250, 63.807, 234.329, 35.953, 35.665, -95.307, 0.223, 1.381, -0.744;
3,0.030,0.030, 218.070, 232.494, -50.675, -46.374, 63.711, 232.719, 36.176, 37.027, -96.013, 0.223, 1.362, -0.706;
3,0.040,0.040, 217.585, 233.116, -48.391, -46.499, 63.614, 230.471, 36.400, 38.365, -96.681, 0.223, 1.339, -0.668;
3,0.050,0.050, 217.100, 233.738, -46.139, -46.623, 63.517, 227.591, 36.623, 39.677, -97.309, 0.223, 1.312, -0.629;
3,0.060,0.060, 216.615, 234.358, -43.924, -46.748, 63.420, 224.087, 36.847, 40.958, -97.898, 0.224, 1.281, -0.589;
3,0.070,0.070, 216.129, 234.979, -41.754, -46.872, 63.323, 219.970, 37.070, 42.205, -98.447, 0.224, 1.247, -0.549;
3,0.080,0.080, 215.643, 235.599, -39.633, -46.996, 63.226, 215.249, 37.294, 43.415, -98.956, 0.224, 1.210, -0.509;
3,0.090,0.090, 215.157, 236.218, -37.567, -47.120, 63.129, 209.938, 37.517, 44.584, -99.426, 0.224, 1.169, -0.470;
3,0.100,0.100, 214.670, 236.838, -35.563, -47.244, 63.031, 204.052, 37.741, 45.709, -99.857, 0.224, 1.125, -0.431;
3,0.110,0.110, 214.183, 237.457, -33.625, -47.368, 62.934, 197.607, 37.964, 46.788, -100.250, 0.223, 1.079, -0.393;
3,0.120,0.120, 213.696, 238.075, -31.759, -47.491, 62.837, 190.620, 38.188, 47.817, -100.606, 0.223, 1.030, -0.356;
3,0.130,0.130, 213.208, 238.694, -29.971, -47.615, 62.739, 183.111, 38.411, 48.796, -100.927, 0.223, 0.979, -0.321;
3,0.140,0.140, 212.720, 239.312, -28.265, -47.739, 62.642, 175.099, 38.634, 49.721, -101.214, 0.223, 0.925, -0.287;
3,0.150,0.150, 212.232, 239.930, -26.645, -47.862, 62.544, 166.608, 38.858, 50.591, -101.469, 0.223, 0.870, -0.255;
3,0.160,0.160, 211.744, 240.547, -25.117, -47.986, 62.446, 157.660, 39.081, 51.405, -101.694, 0.223, 0.813, -0.224;
3,0.170,0.170, 211.255, 241.165, -23.684, -48.109, 62.349, 148.280, 39.305, 52.160, -101.889, 0.223, 0.755, -0.196;
3,0.180,0.180, 210.766, 241.782, -22.351, -48.233, 62.251, 138.494, 39.528, 52.856, -102.058, 0.223, 0.696, -0.169;
3,0.190,0.190, 210.277, 242.399, -21.121, -48.356, 62.153, 128.328, 39.751, 53.492, -102.202, 0.223, 0.636, -0.144;
3,0.200,0.200, 209.787, 243.015, -19.997, -48.480, 62.055, 117.810, 39.975, 54.067, -102.323, 0.223, 0.575, -0.121;
3,0.210,0.210, 209.296, 243.631, -18.983, -48.603, 61.957, 106.969, 40.198, 54.580, -102.423, 0.223, 0.513, -0.100;
3,0.220,0.220, 208.806, 244.247, -18.082, -48.726, 61.859, 95.835, 40.421, 55.032, -102.503, 0.223, 0.451, -0.080;
3,0.230,0.230, 208.314, 244.862, -17.296, -48.849, 61.761, 84.438, 40.644, 55.421, -102.565, 0.223, 0.389, -0.062;
3,0.240,0.240, 207.822, 245.476, -16.627, -48.972, 61.663, 72.810, 40.867, 55.747, -102.610, 0.223, 0.327, -0.045;
3,0.250,0.250, 207.329, 246.090, -16.077, -49.095, 61.564, 60.983, 41.091, 56.011, -102.640, 0.223, 0.264, -0.030;
3,0.260,0.260, 206.835, 246.704, -15.647, -49.218, 61.466, 48.988, 41.314, 56.212, -102.655, 0.223, 0.201, -0.016;
3,0.270,0.270, 206.340, 247.316, -15.340, -49.341, 61.367, 36.859, 41.537, 56.351, -102.657, 0.223, 0.138, -0.002;
3,0.280,0.280, 205.844, 247.928, -15.155, -49.463, 61.268, 24.629, 41.759, 56.426, -102.647, 0.223, 0.076, 0.011;
3,0.290,0.290, 205.347, 248.539, -15.093, -49.586, 61.169, 12.331, 41.982, 56.439, -102.624, 0.223, 0.013, 0.023;
3,0.300,0.300, 204.848, 249.148, -15.155, -49.708, 61.069, -0.000, 42.205, 56.389, -102.589, 0.223, -0.050, 0.035;
3,0.310,0.310, 204.349, 249.757, -15.340, -49.830, 60.970, -12.331, 42.428, 56.277, -102.542, 0.223, -0.112, 0.047;
3,0.320,0.320, 203.848, 250.365, -15.648, -49.951, 60.870, -24.629, 42.650, 56.103, -102.483, 0.223, -0.174, 0.059;
3,0.330,0.330, 203.345, 250.971, -16.077, -50.073, 60.770, -36.859, 42.873, 55.866, -102.411, 0.223, -0.237, 0.072;
3,0.340,0.340, 202.841, 251.576, -16.627, -50.194, 60.669, -48.988, 43.096, 55.567, -102.325, 0.223, -0.299, 0.086;
3,0.350,0.350, 202.335, 252.179, -17.297, -50.315, 60.568, -60.983, 43.318, 55.207, -102.225, 0.222, -0.360, 0.100;
3,0.360,0.360, 201.828, 252.781, -18.084, -50.436, 60.467, -72.810, 43.540, 54.785, -102.109, 0.222, -0.422, 0.116;
3,0.370,0.370, 201.319, 253.382, -18.987, -50.556, 60.366, -84.438, 43.763, 54.302, -101.976, 0.222, -0.483, 0.133;
3,0.380,0.380, 200.808, 253.981, -20.002, -50.676, 60.264, -95.835, 43.985, 53.759, -101.825, 0.222, -0.543, 0.151;
3,0.390,0.390, 200.295, 254.578, -21.127, -50.796, 60.162, -106.969, 44.207, 53.155, -101.654, 0.222, -0.604, 0.171;
3,0.400,0.400, 199.780, 255.174, -22.360, -50.916, 60.059, -117.810, 44.429, 52.492, -101.462, 0.222, -0.663, 0.193;
3,0.410,0.410, 199.264, 255.767, -23.696, -51.035, 59.956, -128.328, 44.651, 51.771, -101.246, 0.222, -0.722, 0.216;
3,0.420,0.420, 198.745, 256.359, -25.132, -51.153, 59.853, -138.494, 44.873, 50.992, -101.005, 0.222, -0.779, 0.241;
3,0.430,0.430, 198.225, 256.949, -26.665, -51.272, 59.749, -148.280, 45.095, 50.156, -100.737, 0.222, -0.836, 0.268;
3,0.440,0.440, 197.702, 257.537, -28.289, -51.390, 59.645, -157.660, 45.316, 49.265, -100.440, 0.222, -0.891, 0.297;
3,0.450,0.450, 197.177, 258.123, -30.002, -51.507, 59.540, -166.608, 45.538, 48.321, -100.112, 0.222, -0.944, 0.327;
3,0.460,0.460, 196.651, 258.707, -31.797, -51.625, 59.435, -175.099, 45.760, 47.325, -99.753, 0.222, -0.996, 0.360;
3,0.470,0.470, 196.122, 259.289, -33.670, -51.741, 59.330, -183.111, 45.981, 46.279, -99.360, 0.221, -1.046, 0.393;
3,0.480,0.480, 195.592, 259.869, -35.616, -51.858, 59.224, -190.620, 46.202, 45.185, -98.931, 0.221, -1.094, 0.428;
3,0.490,0.490, 195.059, 260.447, -37.630, -51.974, 59.118, -197.607, 46.423, 44.046, -98.467, 0.221, -1.139, 0.465;
3,0.500,0.500, 194.525, 261.024, -39.706, -52.089, 59.012, -204.052, 46.645, 42.864, -97.965, 0.221, -1.182, 0.502;
3,0.510,0.510, 193.989, 261.598, -41.839, -52.205, 58.905, -209.938, 46.866, 41.643, -97.424, 0.221, -1.221, 0.540;
3,0.520,0.520, 193.451, 262.170, -44.022, -52.320, 58.798, -215.249, 47.087, 40.385, -96.845, 0.221, -1.258, 0.579;
3,0.530,0.530, 192.911, 262.741, -46.250, -52.434, 58.690, -219.970, 47.307, 39.093, -96.228, 0.221, -1.292, 0.618;
3,0.540,0.540, 192.369, 263.310, -48.516, -52.548, 58.582, -224.087, 47.528, 37.771, -95.571, 0.221, -1.322, 0.657;
3,0.550,0.550, 191.826, 263.877, -50.814, -52.662, 58.474, -227.591, 47.749, 36.423, -94.875, 0.221, -1.348, 0.696;
3,0.560,0.560, 191.282, 264.442, -53.139, -52.775, 58.365, -230.471, 47.969, 35.052, -94.142, 0.220, -1.371, 0.734;
3,0.570,0.570, 190.736, 265.006, -55.483, -52.888, 58.256, -232.719, 48.190, 33.663, -93.371, 0.220, -1.390, 0.771;
3,0.580,0.580, 190.188, 265.568, -57.840, -53.001, 58.147, -234.329, 48.410, 32.258, -92.564, 0.220, -1.405, 0.807;
3,0.590,0.590, 189.639, 266.129, -60.203, -53.114, 58.038, -235.297, 48.630, 30.842, -91.723, 0.220, -1.416, 0.841;
3,0.600,0.600, 190.170, 265.549, -60.203, 53.226, -57.928, 0.000, 48.410, 30.869, -91.785, -0.220, 0.027, -0.062;
3,0.610,0.610, 190.700, 264.968, -60.203, 53.110, -58.034, 0.000, 48.190, 30.896, -91.846, -0.220, 0.027, -0.061;
3,0.620,0.620, 191.229, 264.385, -60.203, 52.994, -58.140, 0.000, 47.969, 30.922, -91.905, -0.220, 0.026, -0.060;
3,0.630,0.630, 191.756, 263.802, -60.203, 52.877, -58.246, 0.000, 47.749, 30.948, -91.964, -0.220, 0.026, -0.058;
3,0.640,0.640, 192.283, 263.217, -60.203, 52.760, -58.351, 0.000, 47.528, 30.974, -92.021, -0.221, 0.025, -0.057;
3,0.650,0.650, 192.808, 262.632, -60.203, 52.643, -58.457, 0.000, 47.308, 30.998, -92.077, -0.221, 0.025, -0.056;
3,0.660,0.660, 193.332, 262.045, -60.203, 52.526, -58.562, 0.000, 47.087, 31.023, -92.133, -0.221, 0.024, -0.055;
