% LegID, total_time, time, PosX, PosY, PosZ, VelX, VelY, VelZ, Q1, Q2, Q3, Delta_Q1, Delta_Q2, Delta_Q3
% Robot velocity: 80.000, Arc radius: 100, Leg fase: 1
3,0.000,0.000, 218.120, 232.531, -57.653, -184.000, 256.000, 235.619, 36.176, 32.894, -93.796, 0.894, 1.413, -0.827;
3,0.010,0.010, 216.221, 235.046, -55.312, -186.025, 254.496, 235.297, 37.070, 34.289, -94.572, 0.894, 1.394, -0.776;
3,0.020,0.020, 214.302, 237.547, -52.984, -188.037, 252.977, 234.329, 37.964, 35.660, -95.296, 0.894, 1.372, -0.724;
3,0.030,0.030, 212.364, 240.032, -50.674, -190.038, 251.442, 232.719, 38.857, 37.005, -95.965, 0.894, 1.344, -0.669;
3,0.040,0.040, 210.407, 242.503, -48.389, -192.026, 249.891, 230.471, 39.750, 38.317, -96.580, 0.893, 1.313, -0.614;
3,0.050,0.050, 208.431, 244.957, -46.135, -194.002, 248.326, 227.591, 40.643, 39.594, -97.138, 0.893, 1.277, -0.558;
3,0.060,0.060, 206.436, 247.397, -43.919, -195.966, 246.745, 224.087, 41.535, 40.830, -97.639, 0.892, 1.236, -0.502;
3,0.070,0.070, 204.423, 249.820, -41.746, -197.917, 245.149, 219.970, 42.427, 42.023, -98.084, 0.891, 1.192, -0.445;
3,0.080,0.080, 202.392, 252.229, -39.622, -199.856, 243.539, 215.249, 43.317, 43.167, -98.472, 0.890, 1.144, -0.388;
3,0.090,0.090, 200.342, 254.621, -37.554, -201.783, 241.913, 209.938, 44.207, 44.259, -98.804, 0.889, 1.092, -0.332;
3,0.100,0.100, 198.274, 256.998, -35.546, -203.697, 240.273, 204.052, 45.095, 45.296, -99.080, 0.888, 1.037, -0.276;
3,0.110,0.110, 196.188, 259.359, -33.605, -205.598, 238.619, 197.607, 45.981, 46.275, -99.300, 0.887, 0.979, -0.221;
3,0.120,0.120, 194.084, 261.704, -31.736, -207.487, 236.950, 190.620, 46.866, 47.192, -99.468, 0.885, 0.918, -0.167;
3,0.130,0.130, 191.962, 264.032, -29.944, -209.363, 235.267, 183.111, 47.750, 48.046, -99.582, 0.883, 0.854, -0.115;
3,0.140,0.140, 189.823, 266.345, -28.233, -211.226, 233.570, 175.099, 48.631, 48.834, -99.646, 0.882, 0.788, -0.064;
3,0.150,0.150, 187.666, 268.641, -26.610, -213.076, 231.858, 166.608, 49.511, 49.555, -99.660, 0.880, 0.720, -0.014;
3,0.160,0.160, 185.492, 270.921, -25.077, -214.913, 230.133, 157.660, 50.388, 50.206, -99.627, 0.877, 0.651, 0.033;
3,0.170,0.170, 183.300, 273.184, -23.641, -216.736, 228.393, 148.280, 51.263, 50.786, -99.548, 0.875, 0.580, 0.079;
3,0.180,0.180, 181.090, 275.430, -22.303, -218.547, 226.640, 138.494, 52.136, 51.294, -99.426, 0.873, 0.509, 0.122;
3,0.190,0.190, 178.864, 277.659, -21.069, -220.344, 224.872, 128.328, 53.006, 51.731, -99.262, 0.870, 0.436, 0.164;
3,0.200,0.200, 176.620, 279.871, -19.942, -222.127, 223.091, 117.810, 53.873, 52.094, -99.057, 0.867, 0.363, 0.204;
3,0.210,0.210, 174.359, 282.065, -18.925, -223.897, 221.296, 106.969, 54.738, 52.384, -98.815, 0.865, 0.290, 0.242;
3,0.220,0.220, 172.081, 284.242, -18.021, -225.652, 219.488, 95.835, 55.600, 52.600, -98.536, 0.862, 0.217, 0.279;
3,0.230,0.230, 169.787, 286.402, -17.232, -227.394, 217.665, 84.438, 56.459, 52.744, -98.222, 0.859, 0.144, 0.314;
3,0.240,0.240, 167.475, 288.543, -16.561, -229.121, 215.829, 72.810, 57.314, 52.815, -97.876, 0.856, 0.071, 0.347;
3,0.250,0.250, 165.146, 290.666, -16.009, -230.835, 213.980, 60.983, 58.167, 52.813, -97.497, 0.852, -0.002, 0.379;
3,0.260,0.260, 162.801, 292.771, -15.578, -232.533, 212.117, 48.988, 59.016, 52.740, -97.087, 0.849, -0.073, 0.410;
3,0.270,0.270, 160.439, 294.857, -15.270, -234.217, 210.241, 36.859, 59.861, 52.595, -96.647, 0.846, -0.145, 0.440;
3,0.280,0.280, 158.060, 296.925, -15.085, -235.886, 208.351, 24.629, 60.703, 52.380, -96.177, 0.842, -0.215, 0.469;
3,0.290,0.290, 155.665, 298.973, -15.023, -237.540, 206.448, 12.331, 61.542, 52.095, -95.679, 0.838, -0.285, 0.498;
3,0.300,0.300, 153.254, 301.002, -15.086, -239.178, 204.532, -0.000, 62.376, 51.741, -95.152, 0.835, -0.354, 0.527;
3,0.310,0.310, 150.826, 303.011, -15.272, -240.801, 202.603, -12.331, 63.207, 51.319, -94.597, 0.831, -0.422, 0.556;
3,0.320,0.320, 148.382, 305.000, -15.582, -242.409, 200.661, -24.629, 64.034, 50.830, -94.012, 0.827, -0.489, 0.585;
3,0.330,0.330, 145.922, 306.970, -16.014, -244.000, 198.706, -36.859, 64.857, 50.274, -93.398, 0.823, -0.556, 0.614;
3,0.340,0.340, 143.446, 308.919, -16.568, -245.576, 196.738, -48.988, 65.676, 49.653, -92.754, 0.819, -0.621, 0.644;
3,0.350,0.350, 140.954, 310.847, -17.242, -247.135, 194.757, -60.983, 66.491, 48.968, -92.078, 0.815, -0.685, 0.676;
3,0.360,0.360, 138.447, 312.755, -18.034, -248.678, 192.764, -72.810, 67.302, 48.219, -91.370, 0.811, -0.749, 0.708;
3,0.370,0.370, 135.925, 314.642, -18.941, -250.204, 190.758, -84.438, 68.108, 47.407, -90.627, 0.807, -0.811, 0.742;
3,0.380,0.380, 133.387, 316.507, -19.963, -251.713, 188.740, -95.835, 68.911, 46.535, -89.850, 0.802, -0.873, 0.778;
3,0.390,0.390, 130.833, 318.351, -21.095, -253.206, 186.709, -106.969, 69.709, 45.602, -89.035, 0.798, -0.933, 0.815;
3,0.400,0.400, 128.265, 320.173, -22.335, -254.681, 184.667, -117.810, 70.502, 44.610, -88.181, 0.794, -0.992, 0.854;
3,0.410,0.410, 125.682, 321.974, -23.679, -256.139, 182.612, -128.328, 71.292, 43.560, -87.286, 0.789, -1.050, 0.895;
3,0.420,0.420, 123.085, 323.752, -25.123, -257.579, 180.546, -138.494, 72.077, 42.454, -86.348, 0.785, -1.107, 0.938;
3,0.430,0.430, 120.473, 325.508, -26.665, -259.002, 178.468, -148.280, 72.857, 41.292, -85.365, 0.780, -1.162, 0.984;
3,0.440,0.440, 117.847, 327.242, -28.298, -260.407, 176.378, -157.660, 73.633, 40.076, -84.333, 0.776, -1.216, 1.031;
3,0.450,0.450, 115.207, 328.953, -30.020, -261.794, 174.278, -166.608, 74.405, 38.807, -83.252, 0.771, -1.269, 1.082;
