% LegID, total_time, time, PosX, PosY, PosZ, VelX, VelY, VelZ, Q1, Q2, Q3, Delta_Q1, Delta_Q2, Delta_Q3
% Robot velocity: 80.000, Arc radius: 1000000000, Leg fase: 3
4,0.000,0.000, 249.998, -40.800, -60.000, -0.000, -80.000, 0.000, -13.124, 37.773, -108.353, -0.249, -0.042, 0.114;
4,0.010,0.010, 249.996, -41.601, -60.000, -0.000, -80.000, 0.000, -13.372, 37.729, -108.237, -0.248, -0.043, 0.116;
4,0.020,0.020, 249.994, -42.401, -60.000, -0.000, -80.000, 0.000, -13.620, 37.685, -108.119, -0.248, -0.044, 0.119;
4,0.030,0.030, 249.992, -43.201, -60.000, -0.000, -80.000, 0.000, -13.868, 37.640, -107.998, -0.247, -0.045, 0.121;
4,0.040,0.040, 249.991, -44.002, -60.000, -0.000, -80.000, 0.000, -14.115, 37.594, -107.875, -0.247, -0.046, 0.123;
4,0.050,0.050, 249.989, -44.802, -60.000, -0.000, -80.000, 0.000, -14.361, 37.548, -107.749, -0.246, -0.047, 0.125;
4,0.060,0.060, 249.987, -45.603, -59.999, -0.000, -80.000, 0.000, -14.607, 37.500, -107.621, -0.246, -0.048, 0.128;
4,0.070,0.070, 249.985, -46.403, -59.999, -0.000, -80.000, 0.000, -14.852, 37.451, -107.491, -0.245, -0.049, 0.130;
4,0.080,0.080, 249.983, -47.203, -59.999, -0.000, -80.000, 0.000, -15.097, 37.401, -107.359, -0.245, -0.050, 0.132;
4,0.090,0.090, 249.981, -48.004, -59.999, -0.000, -80.000, 0.000, -15.341, 37.350, -107.225, -0.244, -0.051, 0.135;
4,0.100,0.100, 249.979, -48.804, -59.999, -0.000, -80.000, 0.000, -15.585, 37.299, -107.088, -0.244, -0.052, 0.137;
4,0.110,0.110, 249.977, -49.605, -59.999, -0.000, -80.000, 0.000, -15.828, 37.246, -106.948, -0.243, -0.053, 0.139;
4,0.120,0.120, 249.976, -50.405, -59.999, -0.000, -80.000, 0.000, -16.070, 37.192, -106.807, -0.242, -0.054, 0.141;
4,0.130,0.130, 249.974, -51.206, -59.999, -0.000, -80.000, 0.000, -16.312, 37.138, -106.663, -0.242, -0.055, 0.144;
4,0.140,0.140, 249.972, -52.006, -59.999, -0.000, -80.000, 0.000, -16.553, 37.082, -106.517, -0.241, -0.056, 0.146;
4,0.150,0.150, 249.970, -52.806, -59.998, -0.000, -80.000, 0.000, -16.794, 37.025, -106.369, -0.241, -0.057, 0.148;
4,0.160,0.160, 249.968, -53.607, -59.998, -0.000, -80.000, 0.000, -17.034, 36.968, -106.218, -0.240, -0.058, 0.151;
4,0.170,0.170, 249.966, -54.407, -59.998, -0.000, -80.000, 0.000, -17.274, 36.909, -106.065, -0.239, -0.059, 0.153;
4,0.180,0.180, 249.964, -55.208, -59.998, -0.000, -80.000, 0.000, -17.512, 36.850, -105.910, -0.239, -0.060, 0.155;
4,0.190,0.190, 249.962, -56.008, -59.998, -0.000, -80.000, 0.000, -17.751, 36.789, -105.753, -0.238, -0.061, 0.158;
4,0.200,0.200, 249.960, -56.809, -59.998, -0.000, -80.000, 0.000, -17.988, 36.727, -105.593, -0.238, -0.062, 0.160;
4,0.210,0.210, 249.958, -57.609, -59.998, -0.000, -80.000, 0.000, -18.225, 36.665, -105.431, -0.237, -0.063, 0.162;
4,0.220,0.220, 249.956, -58.410, -59.998, -0.000, -80.000, 0.000, -18.462, 36.601, -105.266, -0.236, -0.064, 0.164;
4,0.230,0.230, 249.955, -59.210, -59.997, -0.000, -80.000, 0.000, -18.697, 36.536, -105.100, -0.236, -0.065, 0.167;
4,0.240,0.240, 249.953, -60.010, -59.997, -0.000, -80.000, 0.000, -18.932, 36.470, -104.931, -0.235, -0.066, 0.169;
4,0.250,0.250, 249.951, -60.811, -59.997, -0.000, -80.000, 0.000, -19.167, 36.403, -104.759, -0.234, -0.067, 0.171;
4,0.260,0.260, 249.949, -61.611, -59.997, -0.000, -80.000, 0.000, -19.401, 36.335, -104.586, -0.234, -0.068, 0.174;
4,0.270,0.270, 249.947, -62.412, -59.997, -0.000, -80.000, 0.000, -19.634, 36.266, -104.410, -0.233, -0.069, 0.176;
4,0.280,0.280, 249.945, -63.212, -59.997, -0.000, -80.000, 0.000, -19.866, 36.196, -104.231, -0.232, -0.070, 0.178;
